Skill,Course_Name,Platform,Free_Paid,Difficulty,Link,Career_Roles
Python,"Python for Everybody",Coursera,Free,Beginner,https://www.coursera.org/specializations/python,"Software Developer,Python Developer,Data Analyst,Data Scientist,Machine Learning Engineer"
Python,"Python Programming",NPTEL,Free,Beginner,https://nptel.ac.in/courses/106106182,"Software Developer,Python Developer,Data Analyst"
Python,"Learn Python",freeCodeCamp,Free,Beginner,https://www.freecodecamp.org/learn/scientific-computing-with-python/,"Python Developer,Data Analyst,Machine Learning Engineer"
Java,"Java Programming and Software Engineering",Coursera,Free,Beginner,https://www.coursera.org/specializations/java-programming,"Java Developer,Software Developer,Mobile App Developer"
Java,"Programming in Java",NPTEL,Free,Intermediate,https://nptel.ac.in/courses/106105191,"Java Developer,Software Developer"
JavaScript,"JavaScript Algorithms and Data Structures",freeCodeCamp,Free,Beginner,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/,"Web Developer,Full Stack Developer"
JavaScript,"The Complete JavaScript Course",Udemy,Paid,Beginner,https://www.udemy.com/course/the-complete-javascript-course/,"Web Developer,Full Stack Developer"
HTML,"Responsive Web Design",freeCodeCamp,Free,Beginner,https://www.freecodecamp.org/learn/responsive-web-design/,"Web Developer,Full Stack Developer,UI/UX Designer"
CSS,"CSS - The Complete Guide",Udemy,Paid,Beginner,https://www.udemy.com/course/css-the-complete-guide-incl-flexbox-grid-sass/,"Web Developer,Full Stack Developer,UI/UX Designer"
React,"React - The Complete Guide",Udemy,Paid,Intermediate,https://www.udemy.com/course/react-the-complete-guide/,"Web Developer,Full Stack Developer"
React,"Full Stack Open",University of Helsinki,Free,Intermediate,https://fullstackopen.com/en/,"Full Stack Developer,Web Developer"
Node.js,"The Complete Node.js Developer Course",Udemy,Paid,Intermediate,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,"Full Stack Developer,Web Developer"
SQL,"SQL for Data Science",Coursera,Free,Beginner,https://www.coursera.org/learn/sql-for-data-science,"Data Analyst,Data Scientist,Database Administrator"
SQL,"Introduction to Databases and SQL",NPTEL,Free,Beginner,https://nptel.ac.in/courses/106105175,"Data Analyst,Database Administrator,Software Developer"
Machine Learning,"Machine Learning by Andrew Ng",Coursera,Free,Intermediate,https://www.coursera.org/learn/machine-learning,"Machine Learning Engineer,Data Scientist"
Machine Learning,"Machine Learning",NPTEL,Free,Intermediate,https://nptel.ac.in/courses/106106139,"Machine Learning Engineer,Data Scientist"
Deep Learning,"Deep Learning Specialization",Coursera,Free,Advanced,https://www.coursera.org/specializations/deep-learning,"Machine Learning Engineer,Data Scientist"
TensorFlow,"TensorFlow Developer Certificate",Coursera,Paid,Advanced,https://www.coursera.org/professional-certificates/tensorflow-in-practice,"Machine Learning Engineer,Data Scientist"
Data Visualization,"Data Visualization with Tableau",Coursera,Free,Beginner,https://www.coursera.org/learn/data-visualization-tableau,"Data Analyst,Data Scientist"
Statistics,"Statistics with Python",Coursera,Free,Intermediate,https://www.coursera.org/specializations/statistics-with-python,"Data Analyst,Data Scientist,Machine Learning Engineer"
