"Role","Required_Technical_Skills","Required_Soft_Skills","Preferred_Domains","Description","Min_Skill_Match","avg_salary_min","avg_salary_max","demand_level","growth_rate","related_roles"
"Software Developer","Python,Java,C++,Data Structures,Algorithms,Git,SQL,OOP,Design Patterns,REST APIs","Problem Solving,Teamwork,Communication,Time Management","Software Engineering,Backend Development,System Design","Designs, develops, and maintains software applications and systems.","60","70","120","High","10%","Backend Developer,Full Stack Developer,DevOps Engineer"
"Java Developer","Java,Spring Boot,Hibernate,Maven,SQL,REST APIs,Microservices,JUnit,Git,Docker","Problem Solving,Teamwork,Attention to Detail","Backend Development,Enterprise Software,Web Development","Specializes in building applications using Java and its ecosystem.","60","75","125","Medium","8%","Software Developer,Full Stack Developer,Android Developer"
"Python Developer","Python,Django,Flask,FastAPI,SQL,REST APIs,Git,Docker,Unit Testing,OOP","Problem Solving,Communication,Adaptability","Backend Development,Automation,Data Engineering","Develops applications and scripts using Python frameworks and tools.","60","80","130","High","12%","Data Engineer,Backend Developer,Automation Engineer"
"Data Analyst","Python,SQL,Excel,Tableau,Power BI,Statistics,Data Visualization,Pandas,NumPy,ETL","Analytical Thinking,Communication,Attention to Detail,Presentation","Data Analytics,Business Intelligence,Research","Analyzes data to extract insights and support business decision-making.","55","55","95","High","15%","Business Analyst,Data Scientist,BI Analyst"
"Data Scientist","Python,R,Machine Learning,Deep Learning,Statistics,SQL,TensorFlow,PyTorch,Pandas,NumPy,Data Visualization,NLP","Analytical Thinking,Problem Solving,Communication,Research","Data Science,AI/ML,Research,Analytics","Uses ML and statistical methods to analyze complex datasets and build predictive models.","60","90","150","High","18%","Machine Learning Engineer,Data Analyst,Research Scientist"
"Machine Learning Engineer","Python,TensorFlow,PyTorch,Scikit-learn,Deep Learning,NLP,Computer Vision,Docker,MLOps,Kubernetes,SQL,Git","Problem Solving,Research,Communication,Teamwork","AI/ML,Data Science,Research,MLOps","Designs, builds, and deploys machine learning models at scale.","65","100","170","High","22%","Data Scientist,AI Engineer,MLOps Engineer"
"Web Developer","HTML,CSS,JavaScript,React,Node.js,Git,REST APIs,SQL,Responsive Design,Bootstrap","Creativity,Communication,Teamwork,Time Management","Web Development,Frontend Development,UI Development","Builds and maintains websites and web applications.","55","50","90","Medium","5%","Frontend Developer,Full Stack Developer,UI Developer"
"Full Stack Developer","HTML,CSS,JavaScript,React,Node.js,Python,Django,SQL,MongoDB,Git,Docker,REST APIs,TypeScript","Problem Solving,Teamwork,Communication,Adaptability","Full Stack Development,Web Development,Software Engineering","Works on both frontend and backend of web applications.","60","70","120","High","10%","Web Developer,Software Engineer,Backend Developer"
"Cybersecurity Analyst","Network Security,Ethical Hacking,SIEM,Firewalls,Linux,Python,Cryptography,Penetration Testing,Risk Assessment,Compliance","Analytical Thinking,Attention to Detail,Problem Solving,Communication","Cybersecurity,Network Security,Information Security","Protects organizations from cyber threats and security breaches.","60","75","130","High","20%","Security Engineer,Penetration Tester,Security Architect"
"Cloud Engineer","AWS,Azure,GCP,Docker,Kubernetes,Terraform,Linux,CI/CD,Networking,Python,Shell Scripting","Problem Solving,Teamwork,Communication,Adaptability","Cloud Computing,DevOps,Infrastructure","Designs and manages cloud infrastructure and services.","60","90","150","High","16%","DevOps Engineer,SRE,Cloud Architect"
